,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,beta
200,201,at_Ti-8Mo-5Nb-3Zr,Ti84.11Mo7.98Nb4.94Zr2.97,72,10.1016/j.jmbbm.2015.12.023,nnamchi2016,1,0,0,128.0,10.0,69.0,,947.0,,,,13.9,,,,16.19,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Oxygen reported in Table 1. Average grain size reported in the text. Alloy with divergent behavior ignored. ,Ti84.11 Mo7.98 Nb4.94 Zr2.97,0
201,202,at_Ti-8Mo-5Zr-3Nb,Ti84.04Mo7.98Nb2.96Zr5.02,72,10.1016/j.jmbbm.2015.12.023,nnamchi2016,1,0,0,128.0,10.0,52.0,,483.0,,,,10.7,,,,15.26,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Oxygen reported in Table 1. Average grain size reported in the text. Alloy with divergent behavior ignored. ,Ti84.04 Mo7.98 Nb2.96 Zr5.02,0
202,203,at_Ti-22Nb,Ti78.00Nb22.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,40.0,73.0,3.0,405.0,,694.0,,37.0,,181.0,5.0,9.91,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 273 MPa,Ti78 Nb22,1
203,204,at_Ti-22Nb-1Mo,Ti77.00Nb22.00Mo1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,20.0,87.0,2.0,452.0,,763.0,,35.0,,190.0,7.0,11.47,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 295 MPa,Ti77 Nb22 Mo1,1
204,205,at_Ti-22Nb-1Zr,Ti77.00Nb22.00Zr1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,20.0,68.0,4.0,370.0,,629.0,,35.0,,184.0,2.0,9.83,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 259 MPa,Ti77 Nb22 Zr1,1
205,206,at_Ti-22Nb-1Ta,Ti77.00Nb22.00Ta1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,30.0,72.0,4.0,401.0,,617.0,,28.0,,189.0,4.0,10.36,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 286 MPa,Ti77 Nb22 Ta1,1
206,207,at_Ti-22Nb-1Sn,Ti77.00Nb22.00Sn1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,50.0,65.0,3.0,503.0,,633.0,,27.0,,203.0,4.0,9.79,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 328 MPa,Ti77 Nb22 Sn1,1
207,208,at_Ti-22Nb-1Si,Ti77.00Nb22.00Si1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,50.0,69.0,2.0,540.0,,634.0,,21.0,,204.0,5.0,9.94,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 345 MPa,Ti77 Nb22 Si1,1
208,209,at_Ti-22Nb-1Fe,Ti77.00Nb22.00Fe1.00,73,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,40.0,79.0,2.0,600.0,,820.0,,24.0,,250.0,5.0,12.69,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 346 MPa,Ti77 Nb22 Fe1,1
209,210,at_Ti-24Nb,Ti76.00Nb24.00,74,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.0,56.0,,202.0,,409.0,,27.0,,,,10.64,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti76 Nb24,1
