,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,beta
248,249,Ti-25Nb-3Fe,Ti82.33Nb14.73Fe2.94,91,10.1016/j.jmbbm.2015.02.030,chaves2015,1,1,0,1820.0,,65.0,6.0,,,,,,,289.0,3.0,15.7,meta,Ti-beta,Ti-omega,,As-cast,Dynamic modulus characterization. ,Ti82.33 Nb14.73 Fe2.94,1
249,250,Ti-7Mo-1Fe,Ti95.21Mo3.89Fe0.89,92,10.1016/S0142-9612(01)00233-2,lin2002,0,1,0,,47.0,111.0,,,,1902.0,,,,435.0,,10.39,meta,Ti-beta,Ti-omega,,As-cast,"Vacuum-pressure type casting system, U-shaped copper hearth. 3-point bending tests at 0.5 mm/s with 36 x 5 x 1 mm specimens. ",Ti95.21 Mo3.89 Fe0.89,1
250,251,Ti-7Mo-3Fe,Ti93.41Mo3.91Fe2.68,92,10.1016/S0142-9612(01)00233-2,lin2002,0,1,0,,23.0,85.0,,,,2201.0,,,,382.0,,16.2,meta,Ti-beta,Ti-omega,,As-cast,"Vacuum-pressure type casting system, U-shaped copper hearth. 3-point bending tests at 0.5 mm/s with 36 x 5 x 1 mm specimens. ",Ti93.41 Mo3.91 Fe2.68,1
251,252,Ti-7Mo-5Fe,Ti91.60Mo3.92Fe4.49,92,10.1016/S0142-9612(01)00233-2,lin2002,0,0,0,,19.0,89.0,,,,1994.0,,,,347.0,,22.01,meta,Ti-beta,Ti-omega,,As-cast,"Vacuum-pressure type casting system, U-shaped copper hearth. 3-point bending tests at 0.5 mm/s with 36 x 5 x 1 mm specimens. Omega-phase inferred from other compositions in the same study.",Ti91.6 Mo3.92 Fe4.49,1
252,253,Ti-7Mo-7Fe,Ti89.77Mo3.93Fe6.30,92,10.1016/S0142-9612(01)00233-2,lin2002,0,0,0,,14.0,98.0,,,,1851.0,,,,367.0,,27.8,meta,Ti-beta,Ti-omega,,As-cast,"Vacuum-pressure type casting system, U-shaped copper hearth. 3-point bending tests at 0.5 mm/s with 36 x 5 x 1 mm specimens. Omega-phase inferred from other compositions in the same study.",Ti89.77 Mo3.93 Fe6.3,1
253,254,Ti-8Fe-8Ta,Ti90.39Fe7.31Ta2.30Zr0.01,93,10.1016/j.msec.2005.04.004,kuroda2005,1,0,0,690.0,,,,914.0,10.0,1058.0,10.0,10.0,,327.0,,24.76,meta,Ti-beta,,,ST-WQ,ST at beta-transus + 50 degC for 1 h then WQ. Hardness from Fig. 5. Tensile properties from Fig. 7. Elongation reported in the abstract. ,Ti90.39 Fe7.31 Ta2.3 Zr0.01,1
254,255,Ti-8Fe-8Ta-4Zr,Ti88.41Fe7.36Ta2.32Zr1.91,93,10.1016/j.msec.2005.04.004,kuroda2005,1,0,0,370.0,,,,934.0,10.0,1054.0,10.0,10.0,,331.0,,24.52,meta,Ti-beta,,,ST-WQ,ST at beta-transus + 50 degC for 1 h then WQ. Hardness from Fig. 5. Tensile properties from Fig. 7. Elongation reported in the abstract. ,Ti88.41 Fe7.36 Ta2.32 Zr1.91,1
255,256,Ti-10Fe-10Ta-4Zr,Ti85.36Fe9.58Ta2.99Zr2.08,93,10.1016/j.msec.2005.04.004,kuroda2005,1,0,0,450.0,,,,966.0,10.0,1086.0,10.0,6.0,,338.0,,31.21,stable,Ti-beta,,,ST-WQ,ST at beta-transus + 50 degC for 1 h then WQ. Hardness from Fig. 5. Tensile properties from Fig. 7. Elongation reported in the abstract. ,Ti85.36 Fe9.58 Ta2.99 Zr2.08,1
256,257,Ti-25Nb-5Mo-3Sn-2Fe-0.2O,Ti78.31Nb15.34Mo2.96Sn1.38Fe2.00,94,10.1002/adem.201901229,manshadi2020,1,0,0,2800.0,32.0,72.0,,,,621.0,,3.8,,,,17.56,meta,Ti-beta,Ti-alpha,,PM-FC,PM with hydride de-hydide (HDH) Ti and gas atomized (GA) solutes. Sintering at 1350 deg C followed by FC. Grain size roughly estimated from Fig. 1. Density > 90%. ,Ti78.31 Nb15.34 Mo2.96 Sn1.38 Fe2,1
257,258,Ti-25Nb-5Mo-3Sn-2Fe-0.3O,Ti78.39Nb15.26Mo2.92Sn1.39Fe2.03,94,10.1002/adem.201901229,manshadi2020,1,0,0,3600.0,50.0,75.0,,,,682.0,,7.2,,,,17.56,meta,Ti-beta,Ti-alpha,,PM-FC,PM with hydride de-hydide (HDH) Ti and gas atomized (GA) solutes. Sintering at 1350 deg C followed by FC. Grain size roughly estimated from Fig. 1. Density > 90%. ,Ti78.39 Nb15.26 Mo2.92 Sn1.39 Fe2.03,1
258,259,Ti-25Nb-5Mo-3Sn-2Fe-0.6O,Ti78.38Nb15.37Mo2.86Sn1.35Fe2.04,94,10.1002/adem.201901229,manshadi2020,1,0,0,5700.0,38.0,74.0,,,,610.0,,0.0,,,,17.54,meta,Ti-beta,Ti-alpha,,PM-FC,PM with hydride de-hydide (HDH) Ti and gas atomized (GA) solutes. Sintering at 1350 deg C followed by FC. Grain size roughly estimated from Fig. 1. Density > 90%. UTS roughly estimated from Fig. 3. Sample showed no ductility. ,Ti78.38 Nb15.37 Mo2.86 Sn1.35 Fe2.04,1
259,260,Ti-15Mo-3Al-1O,Ti86.49Mo7.89Al5.61,95,10.1088/2053-1591/abcb3e,xu2020,1,0,0,10000.0,300.0,,,1203.0,88.0,,,-43.0,,376.0,5.0,12.0,meta,Ti-beta,,,ST-AC,"ST at 1200 deg C for 2 h, cooling not specified (assumed AC). Compression tests in speciments with D = 4 mm x 6 mm.  Grain size roughly esitmated based on Fig. 4b. Hardness from Fig. 7. ",Ti86.49 Mo7.89 Al5.61,1
260,261,Ti-29Nb-2Mo-6Zr,Ti86.48Nb10.57Mo0.69Zr2.27,96,10.1016/j.jallcom.2019.153078,nunes2020,0,0,0,,315.0,79.0,1.0,,,,,,,297.0,3.0,6.32,near,Ti-beta,Ti-alpha-dp,,ST-WQ,"Cold rolled 90%, ST at 950 deg C for 1 h then WQ. Grain size from Fig. 3d. Alpha-dp presence disputed. ",Ti86.48 Nb10.57 Mo0.69 Zr2.27,1
261,262,Ti-12Mo-3Nb,Ti91.86Mo6.47Nb1.67,97,10.1016/j.jallcom.2011.11.035,gabriel2012,0,0,0,,112.0,105.0,,449.0,2.0,747.0,10.0,42.0,1.0,,,12.84,meta,Ti-beta,,,ST-WQ,ST at 950 deg C for 1 h then quenched in water. Grain size roughly estimated from Fig. 2. Mechanical properties extracted from Fig. 3. ,Ti91.86 Mo6.47 Nb1.67,1
262,263,Ti-35Nb-7Zr-5Ta-0.1O,Ti69.34Nb23.97Zr4.98Ta1.71,98,10.1007/s11837-004-0253-9,qazi2004,1,0,0,600.0,60.0,,,530.0,,590.0,,21.0,,,,10.96,meta,Ti-beta,,,ST-WQ,ST at 850 deg C for 1 h then WQ,Ti69.34 Nb23.97 Zr4.98 Ta1.71,1
263,264,Ti-35Nb-7Zr-5Ta-0.5O,Ti69.41Nb23.57Zr5.06Ta1.96,98,10.1007/s11837-004-0253-9,qazi2004,1,0,0,4600.0,23.0,,,937.0,,1014.0,,19.0,,,,10.92,meta,Ti-beta,,,ST-WQ,ST at 840 deg C for 1 h then WQ,Ti69.41 Nb23.57 Zr5.06 Ta1.96,1
264,265,Ti-35Nb-7Zr-5Ta-0.7O,Ti69.59Nb23.54Zr4.92Ta1.96,98,10.1007/s11837-004-0253-9,qazi2004,1,0,0,6800.0,28.0,,,1081.0,,1097.0,,21.0,,,,10.92,meta,Ti-beta,,,ST-WQ,ST at 900 deg C for 1 h then WQ,Ti69.59 Nb23.54 Zr4.92 Ta1.96,1
265,266,Ti-30Zr-5Mo,Ti77.87Zr18.90Mo3.23,99,10.1016/j.jmbbm.2011.06.020,zhao2011b,1,0,0,870.0,280.0,75.0,4.0,383.0,28.0,762.0,25.0,18.0,3.0,,,5.38,near,Ti-beta,,,ST-WQ,"ST at 850 deg C for 1 h then WQ. Tensile tests with specimens with a cross section of 10 x 1.5 mm, 40 mm length. Grain size roughly estimated based on Fig. 2. Young modulus from Fig. 6. Tensile properties from Fig. 7. ",Ti77.87 Zr18.9 Mo3.23,1
266,267,Ti-30Zr-6Mo,Ti77.15Zr18.98Mo3.87,99,10.1016/j.jmbbm.2011.06.020,zhao2011b,1,0,0,1340.0,160.0,63.0,5.0,459.0,63.0,723.0,7.0,33.0,5.0,,,6.41,near,Ti-beta,,,ST-WQ,"ST at 850 deg C for 1 h then WQ. Tensile tests with specimens with a cross section of 10 x 1.5 mm, 40 mm length. Grain size roughly estimated based on Fig. 2. Young modulus from Fig. 6. Tensile properties from Fig. 7. ",Ti77.15 Zr18.98 Mo3.87,1
267,268,Ti-30Zr-7Mo,Ti76.43Zr19.29Mo4.28,99,10.1016/j.jmbbm.2011.06.020,zhao2011b,1,0,0,1260.0,120.0,66.0,3.0,674.0,13.0,784.0,17.0,19.0,1.0,,,7.04,near,Ti-beta,,,ST-WQ,"ST at 850 deg C for 1 h then WQ. Tensile tests with specimens with a cross section of 10 x 1.5 mm, 40 mm length. Grain size roughly estimated based on Fig. 2. Young modulus from Fig. 6. Tensile properties from Fig. 7. ",Ti76.43 Zr19.29 Mo4.28,1
268,269,at_Ti-26Nb,Ti74.00Nb26.00,100,10.1016/j.jallcom.2019.152412,li2020,0,0,1,,575.0,75.0,,447.0,,,,,,227.0,,11.35,meta,Ti-beta,Ti-alpha-dp,,As-cast,Compression tests. Mechanical properties from Table 1 (Y0.2). Grain size roughly estimated from Fig. 2,Ti74 Nb26,1
269,270,at_Ti-26Nb-2Mo,Ti72.00Nb26.00Mo2.00,100,10.1016/j.jallcom.2019.152412,li2020,0,0,1,,521.0,67.0,,535.0,,,,,,189.0,,14.34,meta,Ti-beta,,,As-cast,Compression tests. Mechanical properties from Table 1 (Y0.2). Grain size roughly estimated from Fig. 2,Ti72 Nb26 Mo2,1
270,271,at_Ti-26Nb-4Mo,Ti70.00Nb26.00Mo4.00,100,10.1016/j.jallcom.2019.152412,li2020,0,0,1,,496.0,64.0,,621.0,,,,,,211.0,,17.24,meta,Ti-beta,,,As-cast,Compression tests. Mechanical properties from Table 1 (Y0.2). Grain size roughly estimated from Fig. 2,Ti70 Nb26 Mo4,1
271,272,at_Ti-26Nb-6Mo,Ti68.00Nb26.00Mo6.00,100,10.1016/j.jallcom.2019.152412,li2020,0,0,1,,584.0,56.0,,634.0,,,,,,218.0,,20.04,meta,Ti-beta,,,As-cast,Compression tests. Mechanical properties from Table 1 (Y0.2). Grain size roughly estimated from Fig. 2,Ti68 Nb26 Mo6,1
272,273,at_Ti-26Nb-8Mo,Ti66.00Nb26.00Mo8.00,100,10.1016/j.jallcom.2019.152412,li2020,0,0,1,,478.0,55.0,,663.0,,,,,,242.0,,22.77,meta,Ti-beta,,,As-cast,Compression tests. Mechanical properties from Table 1 (Y0.2). Grain size roughly estimated from Fig. 2,Ti66 Nb26 Mo8,1
273,274,at_AlNbTiV,Ti25.10Nb23.80V24.50Al26.6,101,10.1016/j.matlet.2014.11.162,stepanov2015,0,0,0,,240.0,,,1020.0,,1318.0,,-5.0,,448.0,12.0,13.71,meta,Ti-beta,,,ST-FC,"Samples homogenized at 1200 deg C for 24 h in vacuum. Cooling not specified (assumed FC). Compression tests at RT (22 deg C), rectangular specimens 7 x 5 x 5 mm3. Hardness measurements converted from 4394 (118) [MPa]",Ti25.1 Nb23.8 V24.5 Al26.6,1
274,275,at_HfNbTiZr,Ti25.00Nb25.00Zr25.00Hf25.00,102,10.1016/j.matlet.2014.05.134,wu2014,0,0,0,,1150.0,,,879.0,,969.0,,15.0,,,,6.34,near,Ti-beta,,,ST-FC,Samples homogenized at 1300 deg C for 6 h. Tensile tests performed at RT with dog-bone shape specimens with gauge geometry 1 x 5 x 10 mm. Real composition not measured/reported. Conclusion text conflicts with discussion (tensile tests could be performed with as-cast samples),Ti25 Nb25 Zr25 Hf25,1
275,276,at_TiNbZrTaHf,Ti19.70Nb18.93Zr21.23Ta19.68Hf20.46,103,10.1016/j.jallcom.2011.02.171,senkov2011,0,0,0,,150.0,,,929.0,15.0,,,-50.0,,390.0,,10.77,meta,Ti-beta,,,ST-FC,Samples HIPed at 1200 deg C (207 MPa) for 3 h. Compression tests with cylindrical specimens 3.7 x 5.6 mm at RT. Sample did not fracture (elongation set to -50%). ,Ti19.7 Nb18.93 Zr21.23 Ta19.68 Hf20.46,1
276,277,at_Ti-20Fe,Ti80.00Fe20.00,104,10.1016/j.jallcom.2019.01.346,li2019,0,1,1,,,,,1389.0,,1566.0,,-7.8,,484.0,,65.48,stable,Ti-beta,Ti-alpha,,As-cast,Compression tests in cylindrical samples with a diameter of 3 mm and a height of aprox. 5 mm. Hardness and elastic modulus measured by nanoidentation. Reduced elastic modulus of 44.9 GPa,Ti80 Fe20,1
277,278,at_Ti-20Fe-1Sn,Ti79.00Fe20.00Sn1.00,104,10.1016/j.jallcom.2019.01.346,li2019,0,1,1,,,,,1531.0,,1679.0,,-8.6,,495.0,,64.56,stable,Ti-beta,Ti-alpha,,As-cast,Compression tests in cylindrical samples with a diameter of 3 mm and a height of aprox. 5 mm. Hardness and elastic modulus measured by nanoidentation. Reduced elastic modulus of 49.4 GPa,Ti79 Fe20 Sn1,1
278,279,at_Ti-20Fe-3Sn,Ti77.00Fe20.00Sn3.00,104,10.1016/j.jallcom.2019.01.346,li2019,0,1,1,,,,,1574.0,,1732.0,,-3.5,,513.0,,62.79,stable,Ti-beta,Ti-alpha,TiFe,As-cast,Compression tests in cylindrical samples with a diameter of 3 mm and a height of aprox. 5 mm. Hardness and elastic modulus measured by nanoidentation. Reduced elastic modulus of 36.4,Ti77 Fe20 Sn3,1
279,280,at_Ti-20Fe-5Sn,Ti75.00Fe20.00Sn5.00,104,10.1016/j.jallcom.2019.01.346,li2019,0,1,1,,,,,1700.0,,2332.0,,-10.4,,558.0,,61.11,stable,Ti-alpha,Ti-beta,TiFe,As-cast,Compression tests in cylindrical samples with a diameter of 3 mm and a height of aprox. 5 mm. Hardness and elastic modulus measured by nanoidentation. Reduced elastic modulus of 33.6,Ti75 Fe20 Sn5,0
280,281,at_Ti-10Fe-3Sn-3Nb,Ti84.00Fe10.00Sn3.00Nb3.00,105,10.1016/j.msea.2017.08.060,zhao2017,0,1,0,,98.0,,,1470.0,,1950.0,,-50.0,,,,32.56,stable,Ti-beta,Ti-alpha-dp,,As-cast,Alpha-dp presence disputable. Reported elongation of -64% (replaced with -50%).,Ti84 Fe10 Sn3 Nb3,1
281,282,at_Ti-12Fe-3Sn-3Nb,Ti82.00Fe12.00Sn3.00Nb3.00,105,10.1016/j.msea.2017.08.060,zhao2017,0,0,0,,100.0,,,1600.0,,2080.0,,-50.0,,,,38.65,stable,Ti-beta,,,As-cast,Additional phases were not characterized. Reported elongation of -52% (replaced with -50%).,Ti82 Fe12 Sn3 Nb3,1
282,283,at_Ti-14Fe-3Sn-3Nb,Ti80.00Fe14.00Sn3.00Nb3.00,105,10.1016/j.msea.2017.08.060,zhao2017,0,0,0,,106.0,,,1880.0,,2400.0,,-32.0,,,,44.71,stable,Ti-beta,,,As-cast,Additional phases were not characterized. Sample with no apparent fracture in compression - deformation set to -50%.,Ti80 Fe14 Sn3 Nb3,1
