,w,IR
0,1.667903871184319,2.0460086893823137e+26
1,3.335807742368638,3.6194860851430045e+25
2,5.003711613552958,2.950032218749998e+26
3,6.671615484737276,1.803225690242475e+26
4,8.339519355921595,4.298818910075971e+26
5,10.007423227105916,3.183923929797871e+26
6,11.675327098290234,3.621145673136772e+26
7,13.343230969474552,3.692305929199399e+26
8,15.011134840658872,7.055148806850473e+26
9,16.67903871184319,4.4973018496083186e+26
10,18.34694258302751,7.810760690883756e+26
11,20.01484645421183,4.2811622320844204e+26
12,21.68275032539615,7.149467471538793e+26
13,23.350654196580468,7.195046395663752e+26
14,25.018558067764786,5.734181957685487e+26
15,26.686461938949105,8.688318138764618e+26
16,28.354365810133427,6.246561924125057e+26
17,30.022269681317745,6.944480205628511e+26
18,31.690173552502063,8.430633515419597e+26
19,33.35807742368638,1.1412858520682055e+27
20,35.025981294870704,7.143866695002979e+26
21,36.69388516605502,1.3305975606387302e+27
22,38.36178903723934,1.2791788823300759e+27
23,40.02969290842366,5.139568032195269e+26
24,41.69759677960798,8.660631222890008e+26
25,43.3655006507923,8.433231614201437e+26
26,45.033404521976614,7.733187177255239e+26
27,46.701308393160936,1.1900337195227799e+27
28,48.36921226434525,1.1386360044661677e+27
29,50.03711613552957,1.2203435662769887e+27
30,51.70502000671389,1.0404186723895017e+27
31,53.37292387789821,9.022972719491846e+26
32,55.04082774908254,1.0458938013883492e+27
33,56.70873162026685,6.407958494168529e+26
34,58.376635491451175,1.0187535124999244e+27
35,60.04453936263549,1.0139667919359813e+27
36,61.71244323381981,8.979255360379858e+26
37,63.38034710500413,9.41218160312328e+26
38,65.04825097618844,1.575751905798793e+27
39,66.71615484737276,8.280306728614494e+26
40,68.38405871855709,1.4943534855848143e+27
41,70.05196258974141,6.075300293525368e+26
42,71.71986646092572,1.319190310554076e+27
43,73.38777033211004,4.543895873252469e+26
44,75.05567420329436,1.1072545636553947e+27
45,76.72357807447868,1.128299084775778e+27
46,78.391481945663,1.0641196731266854e+27
47,80.05938581684732,9.373868507250732e+26
48,81.72728968803163,8.282462199618552e+26
49,83.39519355921595,1.1503687978207833e+27
50,85.06309743040028,1.657850604743543e+27
51,86.7310013015846,1.0986945179306381e+27
52,88.3989051727689,9.278995646126705e+26
53,90.06680904395323,1.1198843448893501e+27
54,91.73471291513755,9.656798104691525e+26
55,93.40261678632187,1.140626266005747e+27
56,95.0705206575062,9.225152373842936e+26
57,96.7384245286905,1.0401901685341456e+27
58,98.40632839987482,8.204907227678641e+26
59,100.07423227105915,9.447436823361836e+26
60,101.74213614224347,9.155882930725516e+26
61,103.41004001342777,6.78618822206265e+26
62,105.0779438846121,7.481748981113705e+26
63,106.74584775579642,9.151757635732905e+26
64,108.41375162698075,1.0995481359216584e+27
65,110.08165549816508,6.839308210278306e+26
66,111.74955936934937,9.749414319847552e+26
67,113.4174632405337,7.57829240745597e+26
68,115.08536711171803,1.3044805327639574e+27
69,116.75327098290235,1.1609976512421853e+27
70,118.42117485408666,9.821756994814642e+26
71,120.08907872527098,7.107249121815091e+26
72,121.7569825964553,9.559198916080899e+26
73,123.42488646763962,7.026242086621521e+26
74,125.09279033882395,8.562704025061651e+26
75,126.76069421000825,6.45952066308334e+26
76,128.42859808119258,1.2044424496050873e+27
77,130.09650195237688,4.9419581141380226e+26
78,131.76440582356122,7.821358905023084e+26
79,133.43230969474553,7.686746314615374e+26
80,135.10021356592983,4.9890958166503244e+26
81,136.76811743711417,5.593724791345749e+26
82,138.43602130829848,9.993393507101621e+26
83,140.10392517948281,5.645285350864912e+26
84,141.77182905066712,6.594063807052439e+26
85,143.43973292185143,7.66599500732026e+26
86,145.10763679303577,7.731038859999963e+26
87,146.77554066422007,6.250027118896211e+26
88,148.4434445354044,6.0135802807463996e+26
89,150.11134840658872,5.982744795534716e+26
90,151.77925227777305,4.64666974790279e+26
91,153.44715614895736,3.8178676793439906e+26
92,155.11506002014167,9.02752894332762e+26
93,156.782963891326,4.612254112786482e+26
94,158.4508677625103,5.734460441754635e+26
95,160.11877163369465,5.3491527662308276e+26
96,161.78667550487896,5.887533384961811e+26
97,163.45457937606326,5.766552080808612e+26
98,165.1224832472476,6.608029402654936e+26
99,166.7903871184319,5.7419945522334944e+26
100,168.45829098961622,8.538168145905096e+26
101,170.12619486080055,5.272318209457241e+26
102,171.79409873198486,4.269742684932552e+26
103,173.4620026031692,6.918545255668074e+26
104,175.1299064743535,4.1360099947459725e+26
105,176.7978103455378,4.354804231453798e+26
106,178.46571421672215,5.864867064949131e+26
107,180.13361808790646,4.668930491884389e+26
108,181.8015219590908,4.979076031320732e+26
109,183.4694258302751,5.435568227440664e+26
110,185.1373297014594,9.854642850242693e+26
111,186.80523357264374,7.286015320275367e+26
112,188.47313744382805,6.213748557548188e+26
113,190.1410413150124,5.090554033065904e+26
114,191.8089451861967,7.374013174921943e+26
115,193.476849057381,4.237486015328107e+26
116,195.14475292856534,6.246503056732785e+26
117,196.81265679974965,5.797871646961847e+26
118,198.48056067093395,8.25760270556388e+26
119,200.1484645421183,5.303667070900981e+26
120,201.8163684133026,7.69238311524813e+26
121,203.48427228448693,6.069900564721037e+26
122,205.15217615567124,7.671835678822064e+26
123,206.82008002685555,7.798824378334051e+26
124,208.4879838980399,9.637681479265342e+26
125,210.1558877692242,4.12516326649643e+26
